Voltage (V),Current (A),Light
-1.5000044107,-0.001644687145,Disabled
-1.3749885559,-0.0015884835739,Disabled
-1.2500053644,-0.0015311486786,Disabled
-1.1249808073,-0.0014736659359,Disabled
-0.99999696016,-0.0014160415158,Disabled
-0.87501466274,-0.0013585729757,Disabled
-0.74999243021,-0.0013011352858,Disabled
-0.62500345707,-0.001243884908,Disabled
-0.50002247095,-0.0011867801659,Disabled
-0.37499955297,-0.0011296175653,Disabled
-0.25000607967,-0.0010715047829,Disabled
-0.12496035546,-0.00099435192533,Disabled
2.3144901206e-05,-9.1888772147e-09,Disabled
0.12496929616,0.0093445023522,Disabled
0.24998524785,0.026595324278,Disabled
0.37496861815,0.046787597239,Disabled
0.49998304248,0.068159177899,Disabled
0.62495160103,0.089997753501,Disabled
0.75000351667,0.11189332604,Disabled
0.87499368191,0.13378569484,Disabled
0.99998247623,0.15547680855,Disabled
1.1249859333,0.17685692012,Disabled
1.2499787807,0.19786092639,Disabled
1.3749660254,0.21830624342,Disabled
1.4999862909,0.23798574507,Disabled
-1.5000044107,-0.014386012219,Enabled
-1.3749899864,-0.01437567547,Enabled
-1.2500060797,-0.014209366404,Enabled
-1.1249808073,-0.014145414345,Enabled
-0.99999713898,-0.014126231894,Enabled
-0.87501633167,-0.01404732652,Enabled
-0.74999290705,-0.014042760246,Enabled
-0.62500423193,-0.013788861223,Enabled
-0.50002211332,-0.013112463057,Enabled
-0.37500044703,-0.011437638663,Enabled
-0.24999259412,-0.009161750786,Enabled
-0.12496640533,-0.0064166565426,Enabled
2.142770245e-05,-0.0021858322434,Enabled
0.12496951222,0.009047283791,Enabled
0.24998408556,0.026641199365,Enabled
0.37496820092,0.046824488789,Enabled
0.49998179078,0.068082712591,Enabled
0.62495106459,0.08976649493,Enabled
0.75000476837,0.11148770899,Enabled
0.87499266863,0.13318058848,Enabled
0.99998295307,0.15467695892,Enabled
1.1249859333,0.17587280273,Enabled
1.2499778271,0.19663086534,Enabled
1.3749645948,0.21687671542,Enabled
1.4999860525,0.23643198609,Enabled
