Voltage (V),Current (A),Light
-1.5000036955,-0.00033972514211,Disabled
-1.3749886751,-0.0003336466616,Disabled
-1.2500058413,-0.00032758299494,Disabled
-1.1249804497,-0.00032146376907,Disabled
-0.99999541044,-0.00031523295911,Disabled
-0.87501430511,-0.00030885179876,Disabled
-0.74999213219,-0.0003022767487,Disabled
-0.62500274181,-0.0002954241063,Disabled
-0.50002157688,-0.00028817917337,Disabled
-0.37499970198,-0.0002803374955,Disabled
-0.25000581145,-0.00027146039065,Disabled
-0.12497608364,-0.00025518960319,Disabled
2.2688444005e-05,-2.3393442916e-07,Disabled
0.12499502301,0.0013362035388,Disabled
0.24998134375,0.004173990339,Disabled
0.37495800853,0.0083135524765,Disabled
0.50000417233,0.013187484816,Disabled
0.62498158216,0.018472325057,Disabled
0.75000023842,0.024067590013,Disabled
0.87498766184,0.02991980128,Disabled
0.9999756813,0.03598222509,Disabled
1.1249769926,0.042205475271,Disabled
1.2499672174,0.04854535684,Disabled
1.3749511242,0.054971609265,Disabled
1.4999712706,0.061468381435,Disabled
-1.5000054836,-0.01842883043,Enabled
-1.3749908209,-0.017994953319,Enabled
-1.2500067949,-0.017356026918,Enabled
-1.1249818802,-0.016403859481,Enabled
-0.99999797344,-0.015277951956,Enabled
-0.87501633167,-0.014043273404,Enabled
-0.74999433756,-0.012791380286,Enabled
-0.62500613928,-0.011382418685,Enabled
-0.50000995398,-0.0099338423461,Enabled
-0.37499040365,-0.0083717508242,Enabled
-0.24999864399,-0.0066885789856,Enabled
-0.12497129291,-0.0048894011416,Enabled
2.1200168703e-05,-0.0029210457578,Enabled
0.125016734,-0.00049785332521,Enabled
0.24998530746,0.0029376167804,Enabled
0.37496179342,0.0073189386167,Enabled
0.50000542402,0.012268818915,Enabled
0.62498140335,0.017566328868,Enabled
0.75000065565,0.023138752207,Enabled
0.87498873472,0.028934868053,Enabled
0.99997651577,0.034910693765,Enabled
1.1249780655,0.041020460427,Enabled
1.2499684095,0.047227829695,Enabled
1.3749531507,0.053514353931,Enabled
1.4999724627,0.059855088592,Enabled
